Order_ID,Order_Date,Region,Category,Product,Month,Quantity,Unit_Price,Discount_%,Sales,Profit,Customer_Type,Payment_Mode
ORD1024,2026-01-24,West,Office Supplies,Printer,August,11,25058,10,275638,45311.91,Small Business,Card
ORD1025,2026-01-25,North,Furniture,Desk,April,9,33638,10,302742,23455.38,Individual,UPI
ORD1026,2026-01-26,South,Accessories,Monitor,September,11,26928,15,296208,9012.96,Individual,Card
ORD1027,2026-01-27,North,Furniture,Laptop,December,7,39499,5,276493,39427.01,Individual,Card
ORD1028,2026-01-28,East,Furniture,Monitor,August,4,24754,10,99016,3787.16,Corporate,Net Banking
ORD1029,2026-01-29,South,Accessories,Notebook,April,10,31103,15,311030,41261.53,Corporate,UPI
ORD1030,2026-01-30,North,Office Supplies,Notebook,May,5,6426,5,32130,7613.2,Individual,Cash
ORD1031,2026-01-31,West,Electronics,Notebook,November,5,15827,10,79135,6700.91,Corporate,Card
ORD1032,2026-02-01,North,Accessories,Headphones,October,9,46523,0,418707,50202.37,Individual,Card
ORD1033,2026-02-02,North,Office Supplies,Pen Set,October,9,22099,0,198891,55582.57,Small Business,Net Banking
ORD1034,2026-02-03,South,Furniture,Pen Set,May,11,28757,10,316327,74440.19,Small Business,Card
ORD1035,2026-02-04,East,Electronics,Laptop,May,14,19635,5,274890,52007.24,Small Business,Cash
ORD1036,2026-02-05,South,Accessories,Monitor,January,3,38267,15,114801,16061.52,Small Business,Net Banking
ORD1037,2026-02-06,North,Furniture,Laptop,March,13,7115,10,92495,19065.13,Corporate,UPI
ORD1038,2026-02-07,West,Office Supplies,Webcam,February,7,3494,10,24458,4417.04,Small Business,Card
ORD1039,2026-02-08,West,Accessories,Tablet,June,4,18838,0,75352,8077.38,Individual,Cash
ORD1040,2026-02-09,South,Accessories,Pen Set,March,10,31227,10,312270,50470.89,Individual,Net Banking
ORD1041,2026-02-10,North,Electronics,Printer,February,7,47550,0,332850,74756.32,Corporate,UPI
ORD1042,2026-02-11,South,Office Supplies,Office Chair,May,9,17188,15,154692,21756.46,Corporate,Net Banking
ORD1043,2026-02-12,West,Furniture,Smartphone,February,15,30274,20,454110,20082.11,Corporate,Cash
ORD1044,2026-02-13,South,Office Supplies,Printer,April,9,2467,5,22203,2121.47,Individual,Net Banking
ORD1045,2026-02-14,East,Furniture,Desk,April,12,10991,15,131892,6378.19,Small Business,UPI
ORD1046,2026-02-15,East,Accessories,Headphones,April,8,16912,10,135296,9425.98,Small Business,Card
ORD1047,2026-02-16,South,Office Supplies,Desk,October,8,16271,10,130168,29095.8,Corporate,Card
ORD1048,2026-02-17,North,Electronics,Monitor,June,14,7897,0,110558,10078.22,Individual,Cash
ORD1049,2026-02-18,South,Electronics,Notebook,February,1,20739,10,20739,2860.62,Individual,Cash
ORD1050,2026-02-19,North,Office Supplies,Pen Set,November,3,41938,5,125814,15203.48,Individual,UPI
ORD1051,2026-02-20,West,Electronics,Laptop,May,10,22191,20,221910,39077.79,Small Business,UPI
ORD1052,2026-02-21,West,Office Supplies,Tablet,December,6,38967,5,233802,11258.05,Individual,Net Banking
ORD1053,2026-02-22,North,Office Supplies,Monitor,September,12,29766,5,357192,40435.66,Small Business,Net Banking
ORD1054,2026-02-23,South,Electronics,Desk,November,3,26208,0,78624,8033.6,Small Business,Cash
ORD1055,2026-02-24,South,Electronics,Office Chair,October,15,1146,20,17190,395.8,Small Business,Card
ORD1056,2026-02-25,South,Furniture,Desk,April,3,20490,0,61470,11228.56,Corporate,Net Banking
ORD1057,2026-02-26,North,Office Supplies,Keyboard,August,1,351,5,351,85.17,Corporate,UPI
ORD1058,2026-02-27,South,Electronics,Notebook,August,5,48378,15,241890,54639.37,Small Business,Net Banking
ORD1059,2026-02-28,West,Furniture,Webcam,January,7,24106,10,168742,11194.94,Corporate,Cash
ORD1060,2026-03-01,East,Electronics,Keyboard,January,2,26571,0,53142,6143.13,Individual,UPI
ORD1061,2026-03-02,West,Electronics,Smartphone,March,1,38469,15,38469,6591.81,Corporate,Card
ORD1062,2026-03-03,North,Accessories,Monitor,January,8,18882,0,151056,23011.3,Corporate,Cash
ORD1063,2026-03-04,West,Electronics,Monitor,September,14,8132,0,113848,8228.61,Individual,Net Banking
ORD1064,2026-03-05,West,Electronics,Smartphone,August,2,37099,20,74198,6138.73,Small Business,Net Banking
ORD1065,2026-03-06,West,Accessories,Webcam,July,7,14489,0,101423,7857.87,Corporate,Card
ORD1066,2026-03-07,South,Furniture,Laptop,August,12,25872,5,310464,76773.24,Small Business,Cash
ORD1067,2026-03-08,East,Accessories,Webcam,December,5,35883,10,179415,38989.72,Individual,Card
ORD1068,2026-03-09,North,Office Supplies,Laptop,September,8,26120,20,208960,24388.29,Individual,UPI
ORD1069,2026-03-10,South,Office Supplies,Printer,September,8,43158,0,345264,29080.79,Small Business,UPI
ORD1070,2026-03-11,South,Furniture,Printer,April,4,42479,10,169916,10844.25,Individual,Net Banking
ORD1071,2026-03-12,East,Electronics,Tablet,June,14,23868,10,334152,24632.73,Corporate,Net Banking
ORD1072,2026-03-13,East,Electronics,Notebook,March,8,37154,15,297232,54928.19,Corporate,Card
ORD1073,2026-03-14,North,Furniture,Pen Set,January,6,17582,0,105492,9200.09,Small Business,Card
ORD1074,2026-03-15,West,Furniture,Notebook,May,13,14683,0,190879,18116.81,Small Business,Net Banking
ORD1075,2026-03-16,West,Electronics,Smartphone,June,11,9886,0,108746,22883.53,Corporate,UPI
ORD1076,2026-03-17,West,Office Supplies,Desk,December,4,2909,10,11636,1142.68,Corporate,Card
ORD1077,2026-03-18,South,Accessories,Headphones,February,2,49958,20,99916,18316.44,Corporate,Net Banking
ORD1078,2026-03-19,North,Accessories,Headphones,May,14,41639,0,582946,97839.51,Corporate,Cash
ORD1079,2026-03-20,West,Furniture,Tablet,October,10,44500,0,445000,37004.85,Corporate,Cash
ORD1080,2026-03-21,East,Electronics,Monitor,March,6,16279,5,97674,21691.84,Corporate,Card
ORD1081,2026-03-22,West,Office Supplies,Desk,June,5,38956,10,194780,25872.45,Small Business,Net Banking
ORD1082,2026-03-23,North,Office Supplies,Webcam,November,6,27726,15,166356,16388.62,Small Business,Net Banking
ORD1083,2026-03-24,West,Furniture,Notebook,January,13,15839,0,205907,26137.2,Small Business,Cash
ORD1084,2026-03-25,East,Accessories,Printer,January,8,22092,15,176736,12817.69,Individual,Card
ORD1085,2026-03-26,North,Electronics,Keyboard,December,12,15307,15,183684,8378.69,Corporate,UPI
ORD1086,2026-03-27,South,Accessories,Pen Set,June,4,19104,0,76416,18348.31,Individual,UPI
ORD1087,2026-03-28,North,Electronics,Office Chair,May,3,4527,15,13581,1313.25,Small Business,UPI
ORD1088,2026-03-29,North,Accessories,Office Chair,June,6,44564,0,267384,30462.64,Small Business,Net Banking
ORD1089,2026-03-30,North,Furniture,Pen Set,October,15,35932,20,538980,30780.24,Individual,Card
ORD1090,2026-03-31,South,Electronics,Notebook,August,1,6136,15,6136,194.27,Small Business,Net Banking
ORD1091,2026-04-01,East,Accessories,Laptop,May,4,36542,20,146168,10476.57,Individual,Net Banking
ORD1092,2026-04-02,West,Furniture,Keyboard,June,15,28720,5,430800,87406.46,Corporate,UPI
ORD1093,2026-04-03,North,Accessories,Monitor,January,6,30922,10,185532,7115.93,Small Business,Net Banking
ORD1094,2026-04-04,East,Accessories,Smartphone,May,2,23909,15,47818,7918.57,Individual,Card
ORD1095,2026-04-05,West,Furniture,Desk,November,14,45053,10,630742,74108.21,Individual,UPI
ORD1096,2026-04-06,South,Electronics,Headphones,August,7,47536,5,332752,26490.67,Small Business,Cash
ORD1097,2026-04-07,East,Furniture,Tablet,June,7,31689,10,221823,13773.27,Individual,UPI
ORD1098,2026-04-08,North,Office Supplies,Monitor,February,8,15974,0,127792,11813.34,Small Business,Net Banking
ORD1099,2026-04-09,East,Furniture,Office Chair,February,15,19567,10,293505,46706.31,Individual,Cash
ORD1100,2026-04-10,North,Furniture,Desk,February,5,11367,10,56835,10557.93,Individual,Card
ORD1101,2026-04-11,West,Accessories,Smartphone,November,7,49124,10,343868,62447.25,Small Business,UPI
ORD1102,2026-04-12,West,Electronics,Pen Set,December,2,888,10,1776,447.3,Corporate,Net Banking
ORD1103,2026-04-13,North,Accessories,Tablet,January,11,37083,10,407913,25921.26,Small Business,UPI
ORD1104,2026-04-14,North,Accessories,Headphones,December,8,4975,5,39800,2419.28,Corporate,Card
ORD1105,2026-04-15,North,Office Supplies,Webcam,April,13,38737,15,503581,84299.46,Corporate,UPI
ORD1106,2026-04-16,West,Furniture,Office Chair,December,5,28400,10,142000,15165.04,Corporate,Cash
ORD1107,2026-04-17,West,Accessories,Smartphone,July,13,31636,10,411268,39519.47,Small Business,Card
ORD1108,2026-04-18,East,Electronics,Tablet,November,3,2360,15,7080,1390.5,Corporate,Card
ORD1109,2026-04-19,South,Furniture,Notebook,September,9,16859,20,151731,3217.29,Small Business,Card
ORD1110,2026-04-20,South,Furniture,Printer,May,7,12920,20,90440,3068.96,Small Business,Cash
ORD1111,2026-04-21,West,Accessories,Printer,September,13,25222,0,327886,86056.2,Small Business,Cash
ORD1112,2026-04-22,South,Accessories,Desk,January,8,9987,5,79896,7441.94,Small Business,Card
ORD1113,2026-04-23,East,Electronics,Desk,March,12,7526,20,90312,20387.89,Individual,Net Banking
ORD1114,2026-04-24,West,Office Supplies,Headphones,July,11,738,0,8118,1248.54,Corporate,UPI
ORD1115,2026-04-25,North,Accessories,Printer,November,13,42597,10,553761,36103.29,Small Business,Card
ORD1116,2026-04-26,South,Furniture,Printer,September,14,39961,0,559454,38919.96,Corporate,Card
ORD1117,2026-04-27,West,Furniture,Laptop,August,8,6755,15,54040,5324.79,Individual,Cash
ORD1118,2026-04-28,North,Office Supplies,Smartphone,May,15,8466,5,126990,29634.33,Corporate,UPI
ORD1119,2026-04-29,West,Accessories,Smartphone,April,8,37579,0,300632,52045.55,Small Business,UPI
ORD1120,2026-04-30,South,Furniture,Keyboard,January,10,49006,10,490060,61924.0,Individual,Net Banking
ORD1121,2026-05-01,South,Office Supplies,Desk,June,8,9376,0,75008,13003.5,Individual,UPI
ORD1122,2026-05-02,South,Accessories,Monitor,February,8,15582,10,124656,25126.52,Corporate,Net Banking
ORD1123,2026-05-03,West,Office Supplies,Laptop,May,1,8794,15,8794,206.34,Individual,Card
ORD1124,2026-05-04,South,Accessories,Webcam,December,13,8865,15,115245,21701.19,Small Business,UPI
ORD1125,2026-05-05,South,Furniture,Monitor,August,7,21136,0,147952,20575.72,Small Business,Cash
ORD1126,2026-05-06,East,Accessories,Monitor,September,4,49554,10,198216,40081.18,Small Business,Net Banking
ORD1127,2026-05-07,South,Furniture,Desk,February,3,15778,10,47334,4850.04,Individual,UPI
ORD1128,2026-05-08,East,Electronics,Pen Set,January,3,14493,5,43479,10667.49,Individual,Net Banking
ORD1129,2026-05-09,South,Furniture,Printer,September,14,2350,20,32900,5183.97,Individual,Net Banking
ORD1130,2026-05-10,South,Electronics,Pen Set,April,14,26911,5,376754,36308.15,Small Business,Card
ORD1131,2026-05-11,West,Office Supplies,Desk,January,1,32382,20,32382,1689.34,Small Business,Net Banking
ORD1132,2026-05-12,West,Electronics,Office Chair,September,14,2633,15,36862,8035.16,Individual,Cash
ORD1133,2026-05-13,North,Office Supplies,Desk,October,8,15791,5,126328,8532.23,Individual,Card
ORD1134,2026-05-14,West,Electronics,Desk,January,9,7336,0,66024,11586.62,Corporate,UPI
ORD1135,2026-05-15,South,Electronics,Printer,April,4,23601,20,94404,10055.71,Individual,Card
ORD1136,2026-05-16,East,Office Supplies,Laptop,October,4,26098,0,104392,13608.43,Small Business,Card
ORD1137,2026-05-17,West,Furniture,Laptop,May,2,33355,10,66710,12593.27,Corporate,Card
ORD1138,2026-05-18,North,Furniture,Smartphone,August,15,40898,15,613470,110739.68,Small Business,Net Banking
ORD1139,2026-05-19,East,Office Supplies,Smartphone,October,7,15722,10,110054,9272.67,Individual,UPI
ORD1140,2026-05-20,North,Accessories,Headphones,January,1,3310,20,3310,414.24,Corporate,UPI
ORD1141,2026-05-21,East,Office Supplies,Printer,January,3,14874,0,44622,7778.17,Small Business,UPI
ORD1142,2026-05-22,North,Furniture,Printer,June,9,8366,5,75294,4894.02,Individual,Card
ORD1143,2026-05-23,East,Office Supplies,Monitor,August,7,32990,5,230930,60902.33,Corporate,Card
ORD1144,2026-05-24,North,Accessories,Notebook,June,11,40265,10,442915,74557.38,Corporate,Card
ORD1145,2026-05-25,East,Electronics,Desk,May,14,29014,10,406196,50689.24,Small Business,Card
ORD1146,2026-05-26,East,Accessories,Pen Set,May,4,25760,10,103040,22673.59,Corporate,Net Banking
ORD1147,2026-05-27,North,Furniture,Printer,September,8,49620,10,396960,31770.79,Small Business,Net Banking
ORD1148,2026-05-28,North,Accessories,Webcam,January,11,22192,15,244112,9456.34,Corporate,UPI
ORD1149,2026-05-29,North,Electronics,Headphones,June,3,3146,0,9438,668.23,Small Business,Cash
ORD1150,2026-05-30,West,Accessories,Laptop,January,2,12785,5,25570,2367.0,Individual,Card
ORD1151,2026-05-31,North,Electronics,Keyboard,June,10,41454,0,414540,66200.02,Corporate,Cash
ORD1152,2026-06-01,North,Furniture,Monitor,September,4,2474,15,9896,1698.7,Small Business,Cash
ORD1153,2026-06-02,South,Office Supplies,Office Chair,April,14,18078,15,253092,28051.35,Corporate,Card
ORD1154,2026-06-03,East,Office Supplies,Webcam,January,9,6023,20,54207,4177.63,Small Business,Card
ORD1155,2026-06-04,West,Electronics,Desk,April,12,4613,10,55356,8578.56,Corporate,Net Banking
ORD1156,2026-06-05,South,Furniture,Keyboard,June,14,29881,0,418334,32385.18,Small Business,UPI
ORD1157,2026-06-06,South,Electronics,Office Chair,January,7,22031,0,154217,11303.41,Small Business,UPI
ORD1158,2026-06-07,North,Electronics,Smartphone,May,5,21928,10,109640,21881.31,Individual,Cash
ORD1159,2026-06-08,West,Accessories,Desk,October,4,21074,0,84296,16031.13,Corporate,UPI
ORD1160,2026-06-09,East,Furniture,Smartphone,July,9,9961,10,89649,17803.58,Corporate,Cash
ORD1161,2026-06-10,South,Office Supplies,Keyboard,June,7,5209,20,36463,4165.04,Corporate,Net Banking
ORD1162,2026-06-11,South,Office Supplies,Monitor,October,9,43559,15,392031,13705.54,Small Business,Net Banking
ORD1163,2026-06-12,North,Accessories,Office Chair,January,13,39575,10,514475,85134.34,Corporate,Card
ORD1164,2026-06-13,East,Accessories,Printer,July,7,24924,20,174468,12581.36,Corporate,Cash
ORD1165,2026-06-14,West,Furniture,Desk,December,11,24405,5,268455,66721.9,Corporate,Cash
ORD1166,2026-06-15,East,Electronics,Monitor,November,5,39847,15,199235,30911.22,Small Business,Net Banking
ORD1167,2026-06-16,North,Electronics,Monitor,February,7,35315,10,247205,12632.31,Individual,Card
ORD1168,2026-06-17,East,Office Supplies,Office Chair,June,14,20317,0,284438,68959.54,Small Business,UPI
ORD1169,2026-06-18,South,Furniture,Notebook,December,11,14227,0,156497,26532.29,Small Business,Net Banking
ORD1170,2026-06-19,West,Office Supplies,Notebook,June,6,8039,15,48234,5072.02,Small Business,Card
ORD1171,2026-06-20,West,Accessories,Office Chair,June,5,45138,20,225690,21681.45,Small Business,Cash
ORD1172,2026-06-21,East,Accessories,Webcam,November,9,24773,20,222957,10415.79,Corporate,UPI
ORD1173,2026-06-22,South,Accessories,Desk,March,9,12945,20,116505,6664.74,Corporate,UPI
ORD1174,2026-06-23,West,Office Supplies,Webcam,January,13,38607,20,501891,18540.68,Individual,Cash
ORD1175,2026-06-24,North,Furniture,Laptop,March,6,14283,10,85698,18560.66,Corporate,UPI
ORD1176,2026-06-25,West,Accessories,Tablet,May,9,26491,20,238419,4291.59,Small Business,Cash
ORD1177,2026-06-26,North,Accessories,Tablet,March,8,25470,0,203760,23034.25,Corporate,Net Banking
ORD1178,2026-06-27,North,Electronics,Keyboard,March,10,12890,15,128900,7870.66,Individual,Net Banking
ORD1179,2026-06-28,North,Accessories,Notebook,April,12,33822,0,405864,58487.54,Small Business,Net Banking
ORD1180,2026-06-29,East,Furniture,Webcam,October,10,25204,5,252040,14487.14,Corporate,Net Banking
ORD1181,2026-06-30,West,Furniture,Office Chair,November,15,5867,0,88005,21041.82,Individual,Cash
ORD1182,2026-07-01,West,Office Supplies,Printer,December,3,15927,0,47781,8131.04,Individual,UPI
ORD1183,2026-07-02,South,Electronics,Tablet,August,9,37305,10,335745,79167.49,Individual,Card
ORD1184,2026-07-03,West,Electronics,Smartphone,August,6,29070,10,174420,28812.45,Individual,Net Banking
ORD1185,2026-07-04,North,Office Supplies,Webcam,August,14,12158,10,170212,16466.75,Individual,Cash
ORD1186,2026-07-05,South,Furniture,Smartphone,September,15,46988,20,704820,15975.64,Individual,UPI
ORD1187,2026-07-06,East,Accessories,Smartphone,August,3,25751,0,77253,17129.53,Corporate,Card
ORD1188,2026-07-07,East,Office Supplies,Desk,January,11,30849,15,339339,66765.76,Individual,Net Banking
ORD1189,2026-07-08,West,Electronics,Tablet,March,14,42241,10,591374,27711.3,Individual,Card
ORD1190,2026-07-09,East,Office Supplies,Pen Set,January,5,13158,0,65790,10730.7,Small Business,Net Banking
ORD1191,2026-07-10,North,Office Supplies,Monitor,November,12,13478,5,161736,43245.0,Small Business,Card
ORD1192,2026-07-11,South,Electronics,Office Chair,June,14,20716,5,290024,47063.19,Small Business,Card
ORD1193,2026-07-12,North,Office Supplies,Monitor,August,10,6623,10,66230,15709.74,Small Business,Net Banking
ORD1194,2026-07-13,North,Office Supplies,Office Chair,July,12,49148,5,589776,139995.59,Individual,UPI
ORD1195,2026-07-14,North,Office Supplies,Tablet,July,3,45748,10,137244,26359.1,Corporate,UPI
ORD1196,2026-07-15,East,Furniture,Monitor,June,7,43179,20,302253,26119.38,Small Business,Net Banking
ORD1197,2026-07-16,West,Furniture,Desk,May,12,27791,10,333492,22193.23,Small Business,UPI
ORD1198,2026-07-17,South,Office Supplies,Keyboard,December,14,27822,10,389508,51158.16,Corporate,Net Banking
ORD1199,2026-07-18,West,Electronics,Laptop,April,1,44290,20,44290,6249.44,Individual,Cash
ORD1200,2026-07-19,South,Furniture,Keyboard,April,13,13093,0,170209,18580.54,Corporate,Net Banking
ORD1201,2026-07-20,South,Office Supplies,Headphones,July,12,48488,0,581856,104686.05,Individual,Cash
ORD1202,2026-07-21,South,Accessories,Smartphone,May,9,30123,5,271107,14215.07,Small Business,Cash
ORD1203,2026-07-22,East,Furniture,Printer,September,4,6578,5,26312,3222.03,Corporate,Card
ORD1204,2026-07-23,North,Furniture,Printer,February,8,42979,0,343832,77788.76,Corporate,Net Banking
ORD1205,2026-07-24,West,Furniture,Laptop,January,3,25425,10,76275,14253.0,Small Business,Card
ORD1206,2026-07-25,North,Furniture,Laptop,April,5,13851,0,69255,11680.89,Individual,Cash
ORD1207,2026-07-26,West,Accessories,Monitor,October,7,26346,10,184422,40738.57,Individual,UPI
ORD1208,2026-07-27,South,Office Supplies,Pen Set,June,12,49987,10,599844,26861.36,Individual,Cash
ORD1209,2026-07-28,South,Office Supplies,Printer,April,8,16704,5,133632,24501.88,Corporate,Net Banking
ORD1210,2026-07-29,North,Furniture,Smartphone,June,10,16453,20,164530,34128.19,Individual,Cash
ORD1211,2026-07-30,West,Office Supplies,Laptop,February,10,5518,15,55180,8500.7,Individual,Net Banking
ORD1212,2026-07-31,North,Electronics,Keyboard,May,15,11584,10,173760,43989.79,Small Business,UPI
ORD1213,2026-08-01,East,Office Supplies,Pen Set,June,9,41540,0,373860,95760.19,Corporate,Net Banking
ORD1214,2026-08-02,South,Electronics,Monitor,January,9,47880,10,430920,73474.95,Corporate,Net Banking
ORD1215,2026-08-03,South,Accessories,Notebook,June,5,33298,0,166490,22944.15,Individual,Card
ORD1216,2026-08-04,East,Office Supplies,Headphones,October,9,4496,20,40464,999.3,Individual,UPI
ORD1217,2026-08-05,South,Accessories,Smartphone,January,1,31772,10,31772,3937.4,Small Business,Cash
ORD1218,2026-08-06,North,Accessories,Laptop,July,3,4840,15,14520,368.98,Small Business,Net Banking
ORD1219,2026-08-07,South,Office Supplies,Keyboard,November,15,3201,10,48015,4253.23,Corporate,UPI
ORD1220,2026-08-08,North,Accessories,Printer,February,10,4819,5,48190,3018.75,Small Business,Cash
ORD1221,2026-08-09,West,Electronics,Keyboard,November,4,8159,0,32636,7933.84,Corporate,Card
ORD1222,2026-08-10,North,Accessories,Notebook,January,14,23191,15,324674,10923.01,Corporate,Cash
ORD1223,2026-08-11,North,Accessories,Monitor,May,4,31031,20,124124,1975.42,Individual,UPI
ORD1224,2026-08-12,North,Accessories,Webcam,October,7,19239,5,134673,22907.08,Small Business,Net Banking
ORD1225,2026-08-13,North,Furniture,Pen Set,March,10,6363,5,63630,15927.06,Small Business,Cash
ORD1226,2026-08-14,West,Furniture,Pen Set,May,6,42011,20,252066,47703.9,Small Business,Cash
ORD1227,2026-08-15,East,Accessories,Tablet,April,12,28256,15,339072,50710.37,Small Business,UPI
ORD1228,2026-08-16,East,Office Supplies,Tablet,August,13,11697,0,152061,40519.23,Individual,Card
ORD1229,2026-08-17,South,Office Supplies,Notebook,November,14,24115,5,337610,87171.64,Corporate,Cash
ORD1230,2026-08-18,West,Office Supplies,Printer,June,12,37982,0,455784,66268.93,Individual,Net Banking
ORD1231,2026-08-19,South,Furniture,Notebook,November,9,1140,20,10260,885.53,Small Business,Card
ORD1232,2026-08-20,North,Furniture,Notebook,February,13,48033,10,624429,110131.72,Individual,UPI
ORD1233,2026-08-21,West,Accessories,Headphones,February,13,15364,10,199732,18049.99,Small Business,Cash
ORD1234,2026-08-22,West,Furniture,Tablet,November,6,44606,15,267636,59640.06,Corporate,Card
ORD1235,2026-08-23,South,Furniture,Smartphone,July,6,44199,10,265194,21489.76,Corporate,Card
ORD1236,2026-08-24,East,Electronics,Desk,October,3,2389,10,7167,1729.21,Corporate,Net Banking
ORD1237,2026-08-25,West,Office Supplies,Printer,July,5,6603,0,33015,4465.64,Corporate,Card
ORD1238,2026-08-26,East,Office Supplies,Notebook,October,1,3219,20,3219,122.9,Small Business,UPI
ORD1239,2026-08-27,East,Office Supplies,Headphones,June,12,35515,10,426180,26189.52,Corporate,Card
ORD1240,2026-08-28,North,Furniture,Tablet,November,15,30763,10,461445,104691.02,Small Business,Cash
ORD1241,2026-08-29,East,Accessories,Monitor,November,5,20531,10,102655,14995.77,Individual,UPI
ORD1242,2026-08-30,South,Electronics,Tablet,November,10,42526,20,425260,21429.08,Small Business,Net Banking
ORD1243,2026-08-31,East,Office Supplies,Desk,July,10,43312,5,433120,77845.33,Small Business,Net Banking
ORD1244,2026-09-01,North,Electronics,Headphones,November,2,9746,5,19492,3710.98,Corporate,UPI
ORD1245,2026-09-02,South,Office Supplies,Desk,August,1,33864,0,33864,4357.0,Small Business,Cash
ORD1246,2026-09-03,East,Accessories,Pen Set,February,5,43628,20,218140,4208.52,Small Business,Cash
ORD1247,2026-09-04,North,Furniture,Pen Set,November,6,41204,0,247224,15735.92,Individual,Card
ORD1248,2026-09-05,North,Electronics,Laptop,May,15,12450,5,186750,41111.44,Small Business,UPI
ORD1249,2026-09-06,South,Office Supplies,Smartphone,July,11,38855,10,427405,35351.69,Corporate,UPI
ORD1250,2026-09-07,West,Accessories,Keyboard,April,13,16529,15,214877,11644.89,Individual,Cash
ORD1251,2026-09-08,West,Furniture,Desk,December,9,33214,5,298926,33249.12,Individual,Card
ORD1252,2026-09-09,West,Furniture,Webcam,June,15,43333,15,649995,141742.27,Small Business,Cash
ORD1253,2026-09-10,East,Electronics,Office Chair,May,15,27003,10,405045,74410.67,Individual,Net Banking
ORD1254,2026-09-11,South,Electronics,Smartphone,June,6,37088,0,222528,45007.52,Small Business,Cash
ORD1255,2026-09-12,South,Furniture,Monitor,December,6,19107,15,114642,26252.49,Individual,UPI
ORD1256,2026-09-13,South,Furniture,Pen Set,March,5,35268,5,176340,43585.54,Corporate,Card
ORD1257,2026-09-14,West,Electronics,Desk,November,6,9531,15,57186,11443.58,Small Business,Cash
ORD1258,2026-09-15,East,Office Supplies,Desk,February,12,19595,5,235140,39660.97,Individual,Card
ORD1259,2026-09-16,North,Furniture,Webcam,July,15,21498,15,322470,72873.63,Corporate,UPI
ORD1260,2026-09-17,South,Electronics,Tablet,June,1,31330,0,31330,6245.62,Small Business,Cash
ORD1261,2026-09-18,West,Office Supplies,Office Chair,May,3,41638,15,124914,27378.84,Corporate,Card
ORD1262,2026-09-19,East,Electronics,Printer,March,5,19571,0,97855,7597.68,Individual,Net Banking
ORD1263,2026-09-20,North,Electronics,Pen Set,February,4,5206,20,20824,572.59,Small Business,UPI
ORD1264,2026-09-21,East,Furniture,Keyboard,April,4,21925,0,87700,20587.2,Corporate,Card
ORD1265,2026-09-22,South,Accessories,Keyboard,January,15,45931,0,688965,128053.51,Small Business,Net Banking
ORD1266,2026-09-23,South,Accessories,Pen Set,February,6,49049,10,294294,16709.2,Corporate,UPI
ORD1267,2026-09-24,South,Electronics,Printer,April,9,48616,5,437544,65715.04,Corporate,Net Banking
ORD1268,2026-09-25,West,Furniture,Tablet,May,1,1116,0,1116,140.29,Small Business,Card
ORD1269,2026-09-26,North,Furniture,Monitor,May,6,45459,10,272754,39954.74,Small Business,Cash
